UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação,Tipo
31,21119536,16,0.046957385592518566,0.14869580115940403,0.47086184640483375,Minas Gerais,Estado
31,21119536,17,0.07469582903474689,0.1940046424350456,0.5038808963328005,Minas Gerais,Estado
31,21119536,18,0.05393434950132066,0.1565298458344543,0.45428549455960476,Minas Gerais,Estado
31,21119536,19,0.06508630753630235,0.18469283128702643,0.5240955159392336,Minas Gerais,Estado
31,21119536,20,0.058668117669234264,0.17015935732623397,0.4935254110063368,Minas Gerais,Estado
31,21119536,21,0.08859377396585774,0.20480902756531388,0.4734727497715011,Minas Gerais,Estado
31,21119536,22,0.08862541911065065,0.1974254049575862,0.4397924536075093,Minas Gerais,Estado
31,21119536,23,0.0587918416270594,0.18965162261268467,0.6117811071097616,Minas Gerais,Estado
31,21119536,24,0.06733064775750762,0.19454799861743052,0.5621351498408458,Minas Gerais,Estado
31,21119536,25,0.07756503937569825,0.20864920779317733,0.5612643565080199,Minas Gerais,Estado
31,21119536,26,0.09921580380479982,0.23004061748484864,0.5333695204135449,Minas Gerais,Estado
31,21119536,27,0.10735075744006023,0.2376439377161025,0.5260758515350735,Minas Gerais,Estado
31,21119536,28,0.08206827865261528,0.21475785064835573,0.5619824757178788,Minas Gerais,Estado
31,21119536,29,0.10845277765524364,0.24908718033415658,0.5720869925900034,Minas Gerais,Estado
31,21119536,30,0.10415278043928468,0.22444339841024447,0.4836629312964476,Minas Gerais,Estado
31,21119536,31,0.09894593969972568,0.21534367914759228,0.46866905594661545,Minas Gerais,Estado
31,21119536,32,0.09666347675884572,0.21059521513048993,0.4588118089989848,Minas Gerais,Estado
31,21119536,33,0.12767547599026755,0.25148753992637846,0.4953651611453004,Minas Gerais,Estado
31,21119536,34,0.1407110210245523,0.2605434458127424,0.4824276496731038,Minas Gerais,Estado
31,21119536,35,0.07109540593673655,0.1673506174977445,0.3939245976286767,Minas Gerais,Estado
31,21119536,36,0.09102395889698082,0.19347685461442865,0.41124659622703347,Minas Gerais,Estado
31,21119536,37,0.08978599239967794,0.19340075474277107,0.41658894595241613,Minas Gerais,Estado
31,21119536,38,0.04572578303732455,0.15350310609505333,0.51531547445771,Minas Gerais,Estado
31,21119536,39,0.07162815707951173,0.1741057328452433,0.42319679083646006,Minas Gerais,Estado
31,21119536,40,0.08554020717952017,0.14657036396961626,0.2511435534531785,Minas Gerais,Estado
31,21119536,41,0.08341575640077491,0.14757196778203469,0.26107160822747844,Minas Gerais,Estado
31,21119536,42,0.07813779380957568,0.13489381854034474,0.23287504539404483,Minas Gerais,Estado
31,21119536,43,0.08165885973925266,0.15410128995693637,0.29080993345020606,Minas Gerais,Estado
31,21119536,44,0.07705099282791096,0.12505075225763576,0.20295248725900902,Minas Gerais,Estado
31,21119536,45,0.06634440372408382,0.1273183876769441,0.24433065836376205,Minas Gerais,Estado
31,21119536,46,0.09114225790435129,0.1296631694173066,0.18446479042668631,Minas Gerais,Estado
31,21119536,47,0.0636486300817885,0.11426490135533394,0.20513352235494517,Minas Gerais,Estado
31,21119536,48,0.06587488623989883,0.10558875150720616,0.16924483792273876,Minas Gerais,Estado
31,21119536,49,0.024577922435133265,0.0634467291936568,0.16378469156607522,Minas Gerais,Estado
31,21119536,50,0.06925803791941836,0.10139076742655535,0.14843169151437277,Minas Gerais,Estado
31,21119536,51,0.06067837237962441,0.09681418184590301,0.15446996085938178,Minas Gerais,Estado
31,21119536,52,0.06722801915466917,0.09805624394054446,0.14302112566497913,Minas Gerais,Estado
32,4016356,1,0.02582688988854707,0.053546932032573394,0.11101893965841109,Espírito Santo,Estado
32,4016356,2,0.020620235280558216,0.03243374429312403,0.05101531357712413,Espírito Santo,Estado
32,4016356,3,0.018133994431351472,0.037072970253776996,0.075791637007523,Espírito Santo,Estado
32,4016356,4,0.019481093808321397,0.037072970253776996,0.07055071634891226,Espírito Santo,Estado
32,4016356,5,0.0,0.0,0.0,Espírito Santo,Estado
32,4016356,6,0.018144082616994135,0.036193067263558996,0.0721964370200558,Espírito Santo,Estado
32,4016356,7,0.10295880438058826,0.10295880438058826,0.10295880438058826,Espírito Santo,Estado
32,4016356,8,0.0,0.0,0.0,Espírito Santo,Estado
32,4016356,9,0.10295880438058826,0.10295880438058826,0.10295880438058826,Espírito Santo,Estado
32,4016356,10,0.019122642257184824,0.03684109582839789,0.07097692481943699,Espírito Santo,Estado
32,4016356,11,0.02471129451295912,0.02623430991865995,0.027851192358513344,Espírito Santo,Estado
32,4016356,12,0.041230669015878116,0.06647000176942747,0.10715957903875385,Espírito Santo,Estado
32,4016356,13,0.052228638315915156,0.07519425777213126,0.10825816226916214,Espírito Santo,Estado
32,4016356,14,0.025580682403642332,0.036970778113745315,0.05343244612353151,Espírito Santo,Estado
32,4016356,15,0.09884517805183646,0.10493723967463982,0.11140476943405345,Espírito Santo,Estado
32,4016356,16,0.05026955027345402,0.052770686941755095,0.055396266430799354,Espírito Santo,Estado
32,4016356,17,0.032063140867241366,0.060995968607971664,0.11603692232865045,Espírito Santo,Estado
32,4016356,18,0.021363770217014418,0.03284411732503975,0.05049371117097372,Espírito Santo,Estado
32,4016356,19,0.018350540537499037,0.03661735666036309,0.073067646484433,Espírito Santo,Estado
32,4016356,20,0.020620235280558216,0.03243374429312403,0.05101531357712413,Espírito Santo,Estado
